1,1,1,1,1,1,1,1,1
0.4499,0.7988,1.096,1.2292,1.2981,1.3276,1.3751,1.3581,1.3717
1.4425,1.7708,2.0405,2.1718,2.2815,2.3081,2.321,2.2977,2.3527
1,0.7497,0.7631,0.8812,0.952,1.0056,1.0038,1.0064,1.0022
1,0.8834,0.777,0.7303,0.787,0.8263,0.8312,0.842,0.8412
1,0.9349,0.8397,0.7318,0.7257,0.7153,0.7303,0.745,0.7504
1,0.9555,0.8674,0.7812,0.7075,0.6617,0.6744,0.6586,0.6658
1,0.9713,0.8489,0.7674,0.6821,0.6413,0.6239,0.6221,0.6007
1,0.9074,0.7933,0.6803,0.6207,0.5808,0.5461,0.5244,0.5286
1,0.6841,0.5911,0.5182,0.4813,0.44,0.4188,0.399,0.397
